GeographyKey,City,StateProvinceCode,ProvinceName,CountryRegionCode,CountryName,PostalCode,SalesTerritoryKey
53,Metchosin,BC,British Columbia,CA,Canada,V9,6
62,Royal Oak,BC,British Columbia,CA,Canada,V8X,6
57,Newton,BC,British Columbia,CA,Canada,V2M1P1,6
52,Langley,BC,British Columbia,CA,Canada,V3A 4R2,6
41,Calgary,AB,Alberta,CA,Canada,T2P 2G8,6
54,N. Vancouver,BC,British Columbia,CA,Canada,V7L 4J4,6
58,Newton,BC,British Columbia,CA,Canada,V2M1S6,6
43,Burnaby,BC,British Columbia,CA,Canada,V3J 6Z3,6
59,Oak Bay,BC,British Columbia,CA,Canada,V8P,6
68,Vancouver,BC,British Columbia,CA,Canada,V7L 4J4,6
60,Port Hammond,BC,British Columbia,CA,Canada,V6B 3P7,6
66,Sooke,BC,British Columbia,CA,Canada,V0,6
56,Newton,BC,British Columbia,CA,Canada,V2M1N7,6
69,Victoria,BC,British Columbia,CA,Canada,V8V,6
50,Haney,BC,British Columbia,CA,Canada,V2W 1W2,6
64,Shawnee,BC,British Columbia,CA,Canada,V9B 2C3,6
632,Port Orchard,WA,Washington,US,United States,98366,1
543,Lebanon,OR,Oregon,US,United States,97355,1
614,Edmonds,WA,Washington,US,United States,98020,1
642,Tacoma,WA,Washington,US,United States,98403,1
547,Portland,OR,Oregon,US,United States,97205,1
637,Seattle,WA,Washington,US,United States,98104,1
638,Sedro Woolley,WA,Washington,US,United States,98284,1
552,W. Linn,OR,Oregon,US,United States,97068,1
542,Lake Oswego,OR,Oregon,US,United States,97034,1
633,Puyallup,WA,Washington,US,United States,98371,1
536,Beaverton,OR,Oregon,US,United States,97005,1
627,Marysville,WA,Washington,US,United States,98270,1
631,Olympia,WA,Washington,US,United States,98501,1
539,Corvallis,OR,Oregon,US,United States,97330,1
618,Issaquah,WA,Washington,US,United States,98027,1
644,Walla Walla,WA,Washington,US,United States,99362,1
548,Salem,OR,Oregon,US,United States,97301,1
607,Ballard,WA,Washington,US,United States,98107,1
612,Burien,WA,Washington,US,United States,98168,1
545,Milwaukie,OR,Oregon,US,United States,97222,1
611,Bremerton,WA,Washington,US,United States,98312,1
626,Lynnwood,WA,Washington,US,United States,98036,1
641,Spokane,WA,Washington,US,United States,99202,1
609,Bellingham,WA,Washington,US,United States,98225,1
553,Woodburn,OR,Oregon,US,United States,97071,1
302,Burlingame,CA,California,US,United States,94010,4
310,Colma,CA,California,US,United States,94014,4
337,Long Beach,CA,California,US,United States,90802,4
335,Lemon Grove,CA,California,US,United States,91945,4
311,Concord,CA,California,US,United States,94519,4
300,Beverly Hills,CA,California,US,United States,90210,4
338,Los Angeles,CA,California,US,United States,90012,4
312,Coronado,CA,California,US,United States,92118,4
374,Torrance,CA,California,US,United States,90505,4
368,Santa Cruz,CA,California,US,United States,95062,4
325,Glendale,CA,California,US,United States,91203,4
359,San Diego,CA,California,US,United States,92102,4
298,Bellflower,CA,California,US,United States,90706,4
348,Oakland,CA,California,US,United States,94611,4
372,Spring Valley,CA,California,US,United States,91977,4
369,Santa Monica,CA,California,US,United States,90401,4
299,Berkeley,CA,California,US,United States,94704,4
355,Redwood City,CA,California,US,United States,94063,4
314,Daly City,CA,California,US,United States,94015,4
